,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,updated_github_id,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,labels,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2026-02-19 18:13:08.000000,2026-02-19 18:13:06,405.0,20.0,193.0,55.0,237.0,4.0,2694.0,2026-02-19 18:13:11.000,2026.02.19,100.0,16.0,3.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2026-02-19 18:58:12.000000,2025-11-06 18:40:58,419.0,,112.0,17.0,350.0,37.0,1691.0,2023-06-29 18:48:34.000,2023.06.29,68.0,63.0,,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2026-02-26 06:08:57.000000,2026-02-26 06:08:57,13339.0,295.0,3100.0,231.0,8948.0,9178.0,20242.0,2025-12-15 05:02:33.000,1.19.1,133.0,842.0,3109.0,49,True,,mypy,conda-forge/mypy,390981.0,351884.0,https://pypi.org/project/mypy,2025-12-15 05:02:33.000,39097.0,104593103.0,104693408.0,https://anaconda.org/conda-forge/mypy,2025-12-15 11:15:52.923,6820747.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2026-02-24 10:49:04.000000,2026-02-24 10:23:12,17174.0,114.0,3026.0,196.0,6859.0,5382.0,13658.0,2025-12-06 21:31:16.000,9.0.2,189.0,1091.0,1006.0,49,True,,pytest,conda-forge/pytest,1851918.0,1732685.0,https://pypi.org/project/pytest,2025-12-06 21:30:49.000,119233.0,489295897.0,489999352.0,https://anaconda.org/conda-forge/pytest,2025-12-06 23:00:53.196,44997751.0,1.0,['pytest'],28624.0,,,,,,,,,,,,,,,,,,
6,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2026-02-26 09:52:16.000000,2026-02-26 09:52:14,4412.0,114.0,2036.0,529.0,1412.0,1263.0,55613.0,2026-02-19 17:24:13.000,14.3.3,205.0,286.0,302.0,47,True,,rich,conda-forge/rich,540020.0,504700.0,https://pypi.org/project/rich,2026-02-19 17:23:13.000,35320.0,339880113.0,340147986.0,https://anaconda.org/conda-forge/rich,2026-02-20 07:37:20.190,17947542.0,1.0,,,,,,,,,,,,,,,,,,,,
7,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2026-02-26 14:46:38.000000,2026-02-26 04:26:13,14277.0,1294.0,1786.0,97.0,15111.0,6129.0,45965.0,2026-02-19 22:33:41.000,0.15.2,395.0,815.0,1647.0,47,True,astral-sh/ruff,ruff,conda-forge/ruff,196266.0,157294.0,https://pypi.org/project/ruff,2026-02-19 22:32:41.000,38972.0,149323757.0,149669054.0,https://anaconda.org/conda-forge/ruff,2026-02-20 07:06:51.181,5942323.0,1.0,,4244462.0,,,,,,,,,,,,,,,,,,
8,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2026-02-21 11:06:33.000000,2026-02-21 11:06:31,6485.0,48.0,1464.0,225.0,840.0,1548.0,11097.0,2026-01-28 18:14:57.000,7.2.2,104.0,229.0,362.0,47,True,,psutil,conda-forge/psutil,792673.0,773051.0,https://pypi.org/project/psutil,2026-01-28 18:14:57.000,19622.0,273399509.0,274259793.0,https://anaconda.org/conda-forge/psutil,2026-01-29 09:23:17.173,57639080.0,1.0,,,,,,,,,,,,,,,,,,,,
9,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2026-02-13 13:05:53.000000,2026-02-13 13:05:53,15802.0,163.0,3231.0,316.0,6058.0,6749.0,10191.0,2026-02-05 02:20:16.000,26.0.1,155.0,870.0,1035.0,47,True,,pip,conda-forge/pip,253871.0,248146.0,https://pypi.org/project/pip,2026-02-05 02:20:16.000,5725.0,647171226.0,650075743.0,https://anaconda.org/conda-forge/pip,2026-02-05 06:08:27.516,200411724.0,1.0,,,,,,,,,,,,,,,,,,,,
