,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,open_issue_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2026-03-30 08:46:10.000000,2026-03-30 08:46:09,417.0,24.0,196.0,55.0,243.0,4.0,2706.0,2026-03-26 17:39:03.000,2026.03.26,100.0,17.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2026-03-26 19:13:48.000000,2025-11-06 18:40:58,419.0,,116.0,18.0,358.0,37.0,1711.0,2023-06-29 18:48:34.000,2023.06.29,68.0,63.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2026-04-01 15:35:36.000000,2026-04-01 15:35:35,17245.0,141.0,3067.0,196.0,6935.0,5403.0,13728.0,2025-12-06 21:31:16.000,9.0.2,132.0,1098.0,50,True,,pytest,conda-forge/pytest,['pytest'],1013.0,28923.0,589345456.0,1758430.0,1758430.0,https://pypi.org/project/pytest,588643438.0,https://anaconda.org/conda-forge/pytest,2025-12-06 23:00:53.196,46309374.0,1.0,,,,,,,,,,,,,,,,,,,,
5,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2026-04-02 14:53:31.000000,2026-04-02 14:53:31,14757.0,1324.0,1971.0,97.0,15749.0,6257.0,46811.0,2026-03-26 19:09:30.000,0.15.8,401.0,846.0,48,True,astral-sh/ruff,ruff,conda-forge/ruff,,1638.0,4471959.0,189370782.0,218614.0,170666.0,https://pypi.org/project/ruff,189023037.0,https://anaconda.org/conda-forge/ruff,2026-03-27 09:30:40.568,6285810.0,1.0,2026-03-26 18:39:41.000,47948.0,,,,,,,,,,,,,,,,,,
6,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2026-04-02 10:13:25.000000,2026-04-02 10:13:11,6652.0,201.0,1467.0,223.0,880.0,1578.0,11127.0,2026-01-28 18:14:57.000,7.2.2,104.0,231.0,48,True,,psutil,conda-forge/psutil,,366.0,,306352301.0,799040.0,779418.0,https://pypi.org/project/psutil,305491812.0,https://anaconda.org/conda-forge/psutil,2026-01-29 09:23:17.173,59373781.0,1.0,2026-01-28 18:14:57.000,19622.0,,,,,,,,,,,,,,,,,,
7,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2026-02-26 09:52:16.000000,2026-02-26 09:52:14,4412.0,104.0,2071.0,526.0,1414.0,1268.0,55947.0,2026-02-19 17:24:13.000,14.3.3,120.0,286.0,47,True,,rich,conda-forge/rich,,222.0,,446689125.0,516808.0,516808.0,https://pypi.org/project/rich,446416779.0,https://anaconda.org/conda-forge/rich,2026-02-20 07:37:20.190,18791915.0,1.0,,,,,,,,,,,,,,,,,,,,
8,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,,2012-12-07 13:30:23.000,2026-04-02 02:12:37.000000,2026-04-02 02:12:37,13426.0,309.0,3157.0,233.0,9115.0,9226.0,20345.0,2026-03-31 16:48:36.000,1.20.0,134.0,844.0,47,False,,mypy,conda-forge/mypy,,3106.0,,133633889.0,415226.0,360078.0,https://pypi.org/project/mypy,133533084.0,https://anaconda.org/conda-forge/mypy,2025-12-15 11:15:52.923,7056404.0,1.0,2026-03-31 16:48:36.000,55148.0,,,,,,,,,,,,,,,,,,
9,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2026-03-26 16:47:33.000000,2026-03-25 18:55:19,15837.0,150.0,3253.0,320.0,6095.0,6756.0,10149.0,2026-02-05 02:20:16.000,26.0.1,155.0,871.0,47,True,,pip,conda-forge/pip,,1062.0,,546848034.0,255309.0,249584.0,https://pypi.org/project/pip,543926527.0,https://anaconda.org/conda-forge/pip,2026-02-05 06:08:27.516,207427025.0,1.0,2026-02-05 02:20:16.000,5725.0,,,,,,,,,,,,,,,,,,
