,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,trending,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2026-04-23 19:39:59.000000,2026-04-09 17:48:38,421.0,20.0,197.0,55.0,247.0,4.0,2711.0,2026-04-09 17:48:44.000,2026.04.09,100.0,17.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2026-04-23 19:14:02.000000,2025-11-06 18:40:58,419.0,,119.0,18.0,366.0,37.0,1735.0,2023-06-29 18:48:34.000,2023.06.29,68.0,63.0,0,True,mkdocs/catalog,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2026-04-29 08:50:08.000000,2026-04-29 08:50:07,17300.0,158.0,3076.0,198.0,6997.0,5423.0,13817.0,2026-04-07 17:16:45.000,9.0.3,133.0,1105.0,50,True,,864.0,pytest,conda-forge/pytest,['pytest'],29432.0,673314512.0,1779332.0,1779332.0,https://pypi.org/project/pytest,672594637.0,https://anaconda.org/conda-forge/pytest,2026-04-10 13:05:52.057,47487573.0,1.0,,,,,,,,,,,,,,,,,,
5,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2026-04-30 15:43:56.000000,2026-04-30 15:28:06,15116.0,1244.0,2027.0,101.0,16244.0,6307.0,47310.0,2026-04-24 18:18:25.000,0.15.12,405.0,862.0,48,True,astral-sh/ruff,1664.0,ruff,conda-forge/ruff,,5083402.0,202051057.0,237405.0,181607.0,https://pypi.org/project/ruff,201659406.0,https://anaconda.org/conda-forge/ruff,2026-04-16 22:52:12.167,6584120.0,1.0,2026-04-24 18:17:07.000,55798.0,,,,,,,,,,,,,,,,
6,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2026-04-12 11:02:00.080000,2026-04-12 09:40:06,4458.0,69.0,2112.0,528.0,1450.0,1282.0,56225.0,2026-04-12 08:27:58.000,15.0.0,122.0,289.0,47,True,,214.0,rich,conda-forge/rich,,,539419152.0,526263.0,526263.0,https://pypi.org/project/rich,539135218.0,https://anaconda.org/conda-forge/rich,2026-04-12 11:02:00.080,19591485.0,1.0,,,,,,,,,,,,,,,,,,
7,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,,2012-12-07 13:30:23.000,2026-04-30 15:48:16.000000,2026-04-30 15:46:25,13566.0,336.0,3178.0,233.0,9292.0,9281.0,20395.0,2026-04-21 17:05:50.000,1.20.2,136.0,847.0,47,False,,3137.0,mypy,conda-forge/mypy,,,147191231.0,425116.0,366595.0,https://pypi.org/project/mypy,147087548.0,https://anaconda.org/conda-forge/mypy,2026-04-21 20:44:20.463,7257878.0,1.0,2026-04-21 17:05:50.000,58521.0,,,,,,,,,,,,,,,,
8,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2026-04-13 09:04:58.000000,2026-04-13 09:04:56,16613.0,62.0,1373.0,94.0,2007.0,2216.0,2826.0,2026-03-09 12:47:20.000,82.0.1,631.0,640.0,47,True,,636.0,setuptools,conda-forge/setuptools,,,1345461810.0,883374.0,851385.0,https://pypi.org/project/setuptools,1342708283.0,https://anaconda.org/conda-forge/setuptools,2026-03-09 16:49:40.576,195500444.0,1.0,2026-03-09 12:47:15.000,31989.0,,,,,,,,,,,,,,,,
9,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2026-04-27 21:29:43.000000,2026-04-27 14:35:59,2204.0,79.0,2679.0,228.0,2227.0,2505.0,41492.0,2026-03-12 03:35:15.000,26.3.1,53.0,520.0,46,True,,284.0,black,conda-forge/black,,147395.0,119360273.0,676640.0,676640.0,https://pypi.org/project/black,119091138.0,https://anaconda.org/conda-forge/black,2026-03-12 11:38:04.361,18450680.0,1.0,,,,,,,,,,,,,,,,,,
